,work_importance,religion_importance,overall_hapineess,overal_satisfaction_work,free_to_choose,life_satisfaction,pay_important_job,people _important_job,no_pressure_important_job,security_important_job,promotion_important_job,hours_important_job,usefulness_important_job,holidays_important_job,achieving_important_job,responsible_important_job,interesting_important_job,sex,age,marital_status,highest_educ_lvl,employment_status,numb_employees_organisation,job_type,duration_unemployment,country
0,very important,very important,very happy,0,6,8,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,40.0,single,full 2nd maturity level certificate,retired/pensioned,,middle level non-manual -office worker etc,,Turkey
1,very important,not important,quite happy,8,10,3,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,24.0,married,higher educ- upper-level 3d certificate,less then 30h a week,2-9,"professional worker (lawyer, accountant, teacher etc)",,Turkey
2,very important,quite important,not at all happy,0,8,3,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,49.0,married,full 2nd maturity level certificate,retired/pensioned,,"professional worker (lawyer, accountant, teacher etc)",,Turkey
3,very important,not at all important,quite happy,7,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,31.0,cohabiting,higher educ- upper-level 3d certificate,self employed,,"professional worker (lawyer, accountant, teacher etc)",,Turkey
4,very important,quite important,very happy,0,3,10,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,23.0,single,higher educ- upper-level 3d certificate,student,,,,Turkey
5,very important,very important,quite happy,0,10,9,not mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,51.0,widowed,full 2nd maturity level certificate,retired/pensioned,,junior level non-manual -office worker etc,,Turkey
6,very important,not at all important,quite happy,8,10,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,38.0,married,higher educ- upper-level 3d certificate,30h a week or more,10-24,employer/manager of establ with 10 or more employees,,Turkey
7,very important,very important,quite happy,7,6,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,mentioned,not mentioned,not mentioned,male,42.0,married,compl compulsory education,30h a week or more,2500 and more,skilled manual worker,,Turkey
8,very important,very important,quite happy,9,6,9,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,38.0,married,higher educ- upper-level 3d certificate,self employed,,employer/manager of establ with less than 10 employees,,Turkey
9,very important,not at all important,quite happy,5,9,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,33.0,single,higher educ- upper-level 3d certificate,30h a week or more,1000-2499,junior level non-manual -office worker etc,,Turkey
10,very important,very important,quite happy,0,10,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,52.0,widowed,full 2nd maturity level certificate,retired/pensioned,,"professional worker (lawyer, accountant, teacher etc)",,Turkey
11,quite important,not at all important,quite happy,8,10,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,not mentioned,mentioned,female,25.0,single,higher educ- upper-level 3d certificate,30h a week or more,2-9,"professional worker (lawyer, accountant, teacher etc)",,Turkey
12,very important,very important,not very happy,0,10,2,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,42.0,married,full 2nd maturity level certificate,unemployed,,,less than half a year,Turkey
13,very important,very important,not very happy,0,10,3,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,45.0,married,compl compulsory education,housewife,,,,Turkey
14,very important,very important,not at all happy,6,10,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,29.0,cohabiting,full 2nd maturity level certificate,30h a week or more,100-249,skilled manual worker,,Turkey
15,very important,very important,quite happy,7,1,5,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,not mentioned,not mentioned,female,22.0,single,full 2nd maturity level certificate,30h a week or more,2-9,employer/manager of establ with less than 10 employees,,Turkey
16,very important,very important,quite happy,8,3,7,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,male,30.0,married,higher educ- upper-level 3d certificate,30h a week or more,25-49,middle level non-manual -office worker etc,,Turkey
17,very important,very important,quite happy,0,4,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,not mentioned,male,19.0,single,full 2nd maturity level certificate,student,,,,Turkey
18,quite important,quite important,quite happy,8,10,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,female,42.0,married,compl compulsory education,30h a week or more,2-9,middle level non-manual -office worker etc,,Turkey
19,very important,very important,not very happy,0,7,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,not mentioned,female,36.0,married,compl compulsory education,housewife,,,,Turkey
20,very important,very important,quite happy,0,10,4,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,female,22.0,single,higher educ- upper-level 3d certificate,unemployed,,,less than half a year,Turkey
21,very important,very important,not very happy,0,8,1,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,52.0,married,inadequate education,retired/pensioned,,unskilled manual worker,,Turkey
22,very important,not important,not very happy,8,8,5,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,28.0,single,higher educ- upper-level 3d certificate,30h a week or more,1000-2499,junior level non-manual -office worker etc,,Turkey
23,quite important,very important,very happy,5,5,8,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,27.0,single,higher educ- upper-level 3d certificate,30h a week or more,10-24,member of armed forces,,Turkey
24,very important,quite important,quite happy,0,8,6,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,male,21.0,single,full 2nd maturity level certificate,student,,,,Turkey
25,very important,very important,not very happy,8,3,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,40.0,married,compl compulsory education,self employed,,employer/manager of establ with less than 10 employees,,Turkey
26,very important,very important,not very happy,0,8,5,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,not mentioned,male,52.0,married,compl compulsory education,retired/pensioned,,unskilled manual worker,,Turkey
27,very important,quite important,quite happy,8,9,6,mentioned,mentioned,mentioned,mentioned,not mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,mentioned,female,21.0,single,full 2nd maturity level certificate,30h a week or more,10-24,skilled manual worker,,Turkey
